,state,year,quater,district,registered_users,app_opens
0,andaman-&-nicobar-islands,2018,1,north and middle andaman district,632,0
1,andaman-&-nicobar-islands,2018,1,south andaman district,5846,0
2,andaman-&-nicobar-islands,2018,1,nicobars district,262,0
3,andaman-&-nicobar-islands,2018,2,north and middle andaman district,911,0
4,andaman-&-nicobar-islands,2018,2,south andaman district,8143,0
5,andaman-&-nicobar-islands,2018,2,nicobars district,351,0
6,andaman-&-nicobar-islands,2018,3,north and middle andaman district,1208,0
7,andaman-&-nicobar-islands,2018,3,south andaman district,10474,0
8,andaman-&-nicobar-islands,2018,3,nicobars district,467,0
9,andaman-&-nicobar-islands,2018,4,north and middle andaman district,1553,0
10,andaman-&-nicobar-islands,2018,4,south andaman district,13133,0
11,andaman-&-nicobar-islands,2018,4,nicobars district,536,0
12,andaman-&-nicobar-islands,2019,1,north and middle andaman district,2013,0
13,andaman-&-nicobar-islands,2019,1,south andaman district,15961,0
14,andaman-&-nicobar-islands,2019,1,nicobars district,622,0
15,andaman-&-nicobar-islands,2019,2,north and middle andaman district,2417,6118
16,andaman-&-nicobar-islands,2019,2,south andaman district,18621,43569
17,andaman-&-nicobar-islands,2019,2,nicobars district,693,2953
18,andaman-&-nicobar-islands,2019,3,north and middle andaman district,2662,22064
19,andaman-&-nicobar-islands,2019,3,south andaman district,20518,138190
20,andaman-&-nicobar-islands,2019,3,nicobars district,751,10853
21,andaman-&-nicobar-islands,2019,4,north and middle andaman district,2955,26253
22,andaman-&-nicobar-islands,2019,4,south andaman district,22202,139646
23,andaman-&-nicobar-islands,2019,4,nicobars district,803,11113
24,andaman-&-nicobar-islands,2020,1,north and middle andaman district,3315,30444
25,andaman-&-nicobar-islands,2020,1,south andaman district,24174,151529
26,andaman-&-nicobar-islands,2020,1,nicobars district,879,11613
27,andaman-&-nicobar-islands,2020,2,north and middle andaman district,4100,56992
28,andaman-&-nicobar-islands,2020,2,south andaman district,27626,231071
29,andaman-&-nicobar-islands,2020,2,nicobars district,984,17009
30,andaman-&-nicobar-islands,2020,3,north and middle andaman district,5355,76553
31,andaman-&-nicobar-islands,2020,3,south andaman district,34833,417785
32,andaman-&-nicobar-islands,2020,3,nicobars district,1147,21227
33,andaman-&-nicobar-islands,2020,4,north and middle andaman district,7076,125915
34,andaman-&-nicobar-islands,2020,4,south andaman district,43908,725321
35,andaman-&-nicobar-islands,2020,4,nicobars district,1412,35972
36,andaman-&-nicobar-islands,2021,1,north and middle andaman district,7833,121680
37,andaman-&-nicobar-islands,2021,1,south andaman district,48352,837589
38,andaman-&-nicobar-islands,2021,1,nicobars district,1573,45067
39,andaman-&-nicobar-islands,2021,2,north and middle andaman district,8493,596182
40,andaman-&-nicobar-islands,2021,2,south andaman district,51903,1270226
41,andaman-&-nicobar-islands,2021,2,nicobars district,1699,381815
42,andaman-&-nicobar-islands,2021,3,north and middle andaman district,9263,759314
43,andaman-&-nicobar-islands,2021,3,south andaman district,55873,1771107
44,andaman-&-nicobar-islands,2021,3,nicobars district,1846,591204
45,andaman-&-nicobar-islands,2021,4,north and middle andaman district,10002,171921
46,andaman-&-nicobar-islands,2021,4,south andaman district,59807,1863037
47,andaman-&-nicobar-islands,2021,4,nicobars district,1971,77952
48,andaman-&-nicobar-islands,2022,1,north and middle andaman district,10720,904869
49,andaman-&-nicobar-islands,2022,1,south andaman district,63487,2368756
50,andaman-&-nicobar-islands,2022,1,nicobars district,2081,573782
51,andaman-&-nicobar-islands,2022,2,north and middle andaman district,11379,963824
52,andaman-&-nicobar-islands,2022,2,south andaman district,66959,3404740
53,andaman-&-nicobar-islands,2022,2,nicobars district,2192,811449
54,andaman-&-nicobar-islands,2022,3,north and middle andaman district,11897,1176567
55,andaman-&-nicobar-islands,2022,3,south andaman district,70445,3607286
56,andaman-&-nicobar-islands,2022,3,nicobars district,2300,1284501
57,andaman-&-nicobar-islands,2022,4,north and middle andaman district,12361,313502
58,andaman-&-nicobar-islands,2022,4,south andaman district,73692,3881359
59,andaman-&-nicobar-islands,2022,4,nicobars district,2389,159232
60,andaman-&-nicobar-islands,2023,1,north and middle andaman district,12941,3103047
61,andaman-&-nicobar-islands,2023,1,south andaman district,77052,5450795
62,andaman-&-nicobar-islands,2023,1,nicobars district,2491,2458822
63,andaman-&-nicobar-islands,2023,2,north and middle andaman district,13600,3174229
64,andaman-&-nicobar-islands,2023,2,south andaman district,80112,6884657
65,andaman-&-nicobar-islands,2023,2,nicobars district,2617,4679790
66,andaman-&-nicobar-islands,2023,3,north and middle andaman district,14216,7130284
67,andaman-&-nicobar-islands,2023,3,south andaman district,83305,5950899
68,andaman-&-nicobar-islands,2023,3,nicobars district,2734,7463896
69,andhra-pradesh,2018,1,east godavari district,350356,0
70,andhra-pradesh,2018,1,srikakulam district,143839,0
71,andhra-pradesh,2018,1,visakhapatnam district,497187,0
72,andhra-pradesh,2018,1,prakasam district,189949,0
73,andhra-pradesh,2018,1,anantapur district,241192,0
74,andhra-pradesh,2018,1,kurnool district,240133,0
75,andhra-pradesh,2018,1,guntur district,317065,0
